filename,width,height,mode,mean_intensity,std_intensity,min_intensity,max_intensity,entropy,sharpness,has_nan
J074321.08+173617.2.jpg,800,800,RGB,42.51390729166667,31.71117575943175,0,255,6.498445183589348,13670.82454409,False
J115428.07+262854.5.jpg,800,800,RGB,47.8115109375,38.945569114395425,0,255,6.7435389838506055,14294.641776635,False
J100327.20-013244.9.jpg,800,800,RGB,46.924266145833336,41.060082187925126,0,255,6.5509574925844865,13198.86269364,False
J074516.67+460758.3.jpg,800,800,RGB,45.794396875,32.85898542542547,0,255,6.370508954531668,14190.851804749998,False
J144957.01+331357.6.jpg,800,800,RGB,43.64743229166667,29.756518056459058,0,255,6.343373827367765,14755.613404059997,False
J152609.64+254229.7.jpg,800,800,RGB,42.81983541666666,34.24788571780131,0,255,6.590947562612606,13004.09322309,False
J134216.21+152822.8.jpg,800,800,RGB,40.90993541666667,29.679060569490666,0,255,6.511374800824488,12304.60224034,False
J211035.98-063421.8.jpg,800,800,RGB,40.4432,28.262387232739798,0,255,6.430823821583743,14043.00908089,False
J162049.62+160944.4.jpg,800,800,RGB,37.485559375,28.291957352635567,0,255,6.455281090381442,13365.95122076,False
J085449.37+175806.2.jpg,800,800,RGB,41.47375104166667,29.386251312484884,0,255,6.548847716419529,13456.889922509998,False
J013035.89+194315.5.jpg,800,800,RGB,43.1284703125,32.795359222375346,0,255,6.41487924230674,14195.38090181,False
J155841.36+141335.2.jpg,800,800,RGB,40.728938541666665,34.789923539043215,0,255,6.570785673043646,13698.703713065,False
J100422.74+243334.4.jpg,800,800,RGB,38.328000520833335,29.290559779916002,0,255,6.397932431940848,12806.580559375,False
J235512.49+130959.8.jpg,800,800,RGB,39.97055833333334,30.85622883938126,0,255,6.281997177740735,13920.993211014998,False
J155547.64+423626.0.jpg,800,800,RGB,43.02534583333333,29.662319062609818,0,255,6.35890597381321,12996.043390539999,False
J161443.89+172026.2.jpg,800,800,RGB,42.151971875,32.79738858963025,0,255,6.656190380851395,13900.058680375003,False
J220408.09-092749.3.jpg,800,800,RGB,39.58693958333333,32.588060103364796,0,255,6.458958922327727,14231.33982904,False
J161110.96+114926.4.jpg,800,800,RGB,41.33766979166667,32.47557107445219,0,255,6.509542670199656,13965.04172026,False
J122222.24+073339.1.jpg,800,800,RGB,40.362657291666665,28.08261946733485,0,255,6.440080398212876,13978.381006690002,False
J080824.01+062919.4.jpg,800,800,RGB,42.2001109375,31.740223722697035,0,255,6.408812673055896,14422.915217875001,False
J160131.43+143717.4.jpg,800,800,RGB,44.213372916666664,32.66594418501374,0,255,6.649383633919191,14482.468881015,False
J074656.34+221636.3.jpg,800,800,RGB,47.3152515625,35.31729532771219,0,255,6.472644970297995,13251.502446015,False
J102524.30+551056.3.jpg,800,800,RGB,41.81598697916667,33.38299954286608,0,255,6.408117236606475,14520.155559375,False
J113651.22+212241.0.jpg,800,800,RGB,43.3819453125,36.512283914217505,0,255,6.6885599240491755,14376.92894311,False
J001446.13+181922.3.jpg,800,800,RGB,39.45813489583333,29.805939624450467,0,255,6.5096598011634965,13301.189129515,False
J120449.70+510044.0.jpg,800,800,RGB,41.425003125,33.009687600290015,0,255,6.508184876817469,13980.909641815,False
